gene_id	symbol	biotype	description
ENSG00000139734	DIAPH3	protein_coding	diaphanous related formin 3
ENSG00000137815	RTF1	protein_coding	RTF1 homolog, Paf1/RNA polymerase II complex component
ENSG00000160789	LMNA	protein_coding	lamin A/C
ENSG00000105677	TMEM147	protein_coding	transmembrane protein 147
ENSG00000173535	TNFRSF10C	protein_coding	TNF receptor superfamily member 10c
ENSG00000149196	HIKESHI	protein_coding	heat shock protein nuclear import factor hikeshi
ENSG00000133110	POSTN	protein_coding	periostin
ENSG00000166145	SPINT1	protein_coding	serine peptidase inhibitor, Kunitz type 1
ENSG00000149557	FEZ1	protein_coding	fasciculation and elongation protein zeta 1
ENSG00000138078	PREPL	protein_coding	prolyl endopeptidase like
ENSG00000171204	TMEM126B	protein_coding	transmembrane protein 126B
ENSG00000176845	METRNL	protein_coding	meteorin like, glial cell differentiation regulator
ENSG00000123505	AMD1	protein_coding	adenosylmethionine decarboxylase 1
ENSG00000134853	PDGFRA	protein_coding	platelet derived growth factor receptor alpha
ENSG00000198690	FAN1	protein_coding	FANCD2 and FANCI associated nuclease 1
ENSG00000145868	FBXO38	protein_coding	F-box protein 38
ENSG00000197712	FAM114A1	protein_coding	family with sequence similarity 114 member A1
ENSG00000008838	MED24	protein_coding	mediator complex subunit 24
ENSG00000272414	FAM47E-STBD1	protein_coding	FAM47E-STBD1 readthrough
ENSG00000067606	PRKCZ	protein_coding	protein kinase C zeta
ENSG00000094975	SUCO	protein_coding	SUN domain containing ossification factor
ENSG00000107796	ACTA2	protein_coding	actin alpha 2, smooth muscle
